Domain Name,Sub Domain Name,Table/View Name,Column Name,Data Type
Vendor Management,Contract Management,PurchaseHeaders,Id,uniqueidentifier
Vendor Management,Contract Management,PurchaseHeaders,Ponumber,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,PurchasingDocumentType,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,DocumentDate,datetime
Vendor Management,Contract Management,PurchaseHeaders,LastItem,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,ValidityStart,datetime2
Vendor Management,Contract Management,PurchaseHeaders,ValidityEnd,datetime2
Vendor Management,Contract Management,PurchaseHeaders,TermsofPayment,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,PaymentIn,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,PurchasingOrganization,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,PurchasingGroup,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,YourReference,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,Requisitioner,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,Email,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,Incomplete,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,CategoryofIncompleteness,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,Source,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,CreatedOn,datetimeoffset
Vendor Management,Contract Management,PurchaseHeaders,CreatedBy,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,ModifiedOn,datetimeoffset
Vendor Management,Contract Management,PurchaseHeaders,ModifiedBy,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,IsDeleted,bit
Vendor Management,Contract Management,PurchaseHeaders,Version,timestamp
Vendor Management,Contract Management,PurchaseHeaders,CompanyId,uniqueidentifier
Vendor Management,Contract Management,PurchaseHeaders,VendorId,uniqueidentifier
Vendor Management,Contract Management,PurchaseHeaders,ExchangeRate,bigint
Vendor Management,Contract Management,PurchaseHeaders,CurrencyId,uniqueidentifier
Vendor Management,Contract Management,PurchaseHeaders,Imported,bit
Vendor Management,Contract Management,PurchaseHeaders,IsActive,bit
Vendor Management,Contract Management,PurchaseHeaders,CompanyCode,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,Currency,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,VendorSAPID,int
Vendor Management,Contract Management,PurchaseHeaders,VendorName,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,SAPCreatedBy,nvarchar
Vendor Management,Contract Management,PurchaseHeaders,NetOrderValue,decimal
Vendor Management,Contract Management,ResourceCommercial,Id,uniqueidentifier
Vendor Management,Contract Management,ResourceCommercial,EmployeeNumber,bigint
Vendor Management,Contract Management,ResourceCommercial,VendorId,uniqueidentifier
Vendor Management,Contract Management,ResourceCommercial,PurchaseOrderId,uniqueidentifier
Vendor Management,Contract Management,ResourceCommercial,PurchaseOrderLineItem,int
Vendor Management,Contract Management,ResourceCommercial,PurchaseOrderEndDate,datetime
Vendor Management,Contract Management,ResourceCommercial,ValidityStart,datetime
Vendor Management,Contract Management,ResourceCommercial,ValidityEnd,datetime
Vendor Management,Contract Management,ResourceCommercial,IsDeleted,bit
Vendor Management,Contract Management,ResourceCommercial,CreatedOn,datetimeoffset
Vendor Management,Contract Management,ResourceCommercial,CreatedBy,nvarchar
Vendor Management,Contract Management,ResourceCommercial,ModifiedOn,datetimeoffset
Vendor Management,Contract Management,ResourceCommercial,ModifiedBy,nvarchar
Vendor Management,Contract Management,ResourceCommercial,Version,timestamp
Vendor Management,Contract Management,SOWJD_RFQ_TechnicalEvolutionDetails,Id,uniqueidentifier
Vendor Management,Contract Management,SOWJD_RFQ_TechnicalEvolutionDetails,TEVQuestionId,int
Vendor Management,Contract Management,SOWJD_RFQ_TechnicalEvolutionDetails,Rating,int
Vendor Management,Contract Management,SOWJD_RFQ_TechnicalEvolutionDetails,CreatedOn,datetimeoffset
Vendor Management,Contract Management,SOWJD_RFQ_TechnicalEvolutionDetails,CreatedBy,nvarchar
Vendor Management,Contract Management,SOWJD_RFQ_TechnicalEvolutionDetails,ModifiedOn,datetimeoffset
Vendor Management,Contract Management,SOWJD_RFQ_TechnicalEvolutionDetails,ModifiedBy,nvarchar
Vendor Management,Contract Management,SOWJD_RFQ_TechnicalEvolutionDetails,IsDeleted,bit
Vendor Management,Contract Management,SOWJD_RFQ_TechnicalEvolutionDetails,Version,timestamp
Vendor Management,Contract Management,SOWJD_RFQ_TechnicalEvolutionDetails,Remarks,nvarchar
Vendor Management,Contract Management,SOWJD_RFQ_TechnicalEvolutionDetails,technicalEvolutionID,uniqueidentifier
Vendor Management,Contract Management,SOWJD_SRN,Id,uniqueidentifier
Vendor Management,Contract Management,SOWJD_SRN,BillingPeriodId,uniqueidentifier
Vendor Management,Contract Management,SOWJD_SRN,VendorId,uniqueidentifier
Vendor Management,Contract Management,SOWJD_SRN,PurchaseOrderId,uniqueidentifier
Vendor Management,Contract Management,SOWJD_SRN,SowJdId,uniqueidentifier
Vendor Management,Contract Management,SOWJD_SRN,SRNType,varchar
Vendor Management,Contract Management,SOWJD_SRN,CreatedOn,datetimeoffset
Vendor Management,Contract Management,SOWJD_SRN,CreatedBy,nvarchar
Vendor Management,Contract Management,SOWJD_SRN,ModifiedOn,datetimeoffset
Vendor Management,Contract Management,SOWJD_SRN,ModifiedBy,nvarchar
Vendor Management,Contract Management,SOWJD_SRN,IsDeleted,bit
Vendor Management,Contract Management,SOWJD_SRN,Version,timestamp
Vendor Management,Contract Management,SOWJD_SRN,DM,varchar
Vendor Management,Contract Management,SOWJD_SRN,SRNNumber,varchar
Vendor Management,Contract Management,SOWJD_SRN,TechnicalProposalId,uniqueidentifier
Vendor Management,Contract Management,SOWJD_SRN,SRNStatusID,int
Vendor Management,Contract Management,SOWJD_SRN,InvoiceId,varchar
Vendor Management,Contract Management,SOWJD_SRN,SRNTypeID,int
Vendor Management,Contract Management,SOWJD_SRN,SRNValue,decimal
Vendor Management,Contract Management,SOWJD_SRN,TotalPMO,decimal
Vendor Management,Contract Management,SOWJD_SRN,ApproverEmployeeNumber,bigint
Vendor Management,Contract Management,SOWJD_SRN,RecordOwner,varchar
Vendor Management,Contract Management,SOWJD_SRN,SectionSpoc,varchar
Vendor Management,Contract Management,SOWJD_SRN,L1DeligationCount,int
Vendor Management,Contract Management,SOWJD_SRN,L2DeligationCount,int
