Table/View Name,Column Name,Data Type
AdminGridColumnSetting,ID,uniqueidentifier
AdminGridColumnSetting,MenuId,int
AdminGridColumnSetting,Columns,nvarchar
AdminGridColumnSetting,IsActive,bit
AdminGridColumnSetting,CreatedOn,datetimeoffset
AdminGridColumnSetting,CreatedBy,nvarchar
AdminGridColumnSetting,ModifiedOn,datetimeoffset
AdminGridColumnSetting,ModifiedBy,nvarchar
AdminGridColumnSetting,IsDeleted,bit
AdminGridColumnSetting,Version,timestamp
AllColumnsforColumnSettins,Id,uniqueidentifier
AllColumnsforColumnSettins,MenuId,int
AllColumnsforColumnSettins,Columns,varchar
AllColumnsforColumnSettins,IsActive,bit
AllColumnsforColumnSettins,CreatedOn,datetime
AllColumnsforColumnSettins,CreatedBy,varchar
AllColumnsforColumnSettins,ModifiedOn,datetime
AllColumnsforColumnSettins,ModifiedBy,varchar
AllColumnsforColumnSettins,IsDeleted,bit
AllColumnsforColumnSettins,Version,timestamp
AOP,Id,uniqueidentifier
AOP,AOPPlanningCode,nvarchar
AOP,CFCycleId,uniqueidentifier
AOP,CompanyId,uniqueidentifier
AOP,ValueIn,nvarchar
AOP,CurrencyId,uniqueidentifier
AOP,POPlanningLevel,nvarchar
AOP,ExchangeRate,decimal
AOP,TotalEquivalentCapacity,decimal
AOP,TotalProjectedPO,decimal
AOP,TotalProjectedRevenue,decimal
AOP,Status,nvarchar
AOP,CfCycleName,nvarchar
AOP,PlanningYearId,nvarchar
AOP,CfCyclePlanningMonth,nvarchar
AOP,CfCycleYear,int
AOP,CfCyclePlanningStartDate,datetime
AOP,CfCyclePlanningEndate,datetime
AOP,CreatedOn,datetimeoffset
AOP,CreatedBy,nvarchar
AOP,ModifiedOn,datetimeoffset
AOP,ModifiedBy,nvarchar
AOP,IsDeleted,bit
AOP,Version,timestamp
AOP,ActivitySpocId,nvarchar
AOP,CurrencyName,nvarchar
AOP,DelegateApproval,nvarchar
AOPFirstLevelPlanning,Id,uniqueidentifier
AOPFirstLevelPlanning,AOPId,uniqueidentifier
AOPFirstLevelPlanning,FLPlanningCode,nvarchar
AOPFirstLevelPlanning,OrganizationUnitId,int
AOPFirstLevelPlanning,OrganizationUnitName,nvarchar
AOPFirstLevelPlanning,PlanningOrgLevel,nvarchar
AOPFirstLevelPlanning,ActivitySPOCId,int
AOPFirstLevelPlanning,TotalEquivalentCapacity,decimal
AOPFirstLevelPlanning,TotalProjectedPO,decimal
AOPFirstLevelPlanning,TotalProjectedRevenue,decimal
AOPFirstLevelPlanning,Status,nvarchar
