Domain Name,Sub Domain Name,Table/View Name,Column Name,Data Type
Vendor Management,,AdminGridColumnSetting,ID,uniqueidentifier
Vendor Management,,AdminGridColumnSetting,MenuId,int
Vendor Management,,AdminGridColumnSetting,Columns,nvarchar
Vendor Management,,AdminGridColumnSetting,IsActive,bit
Vendor Management,,AdminGridColumnSetting,CreatedOn,datetimeoffset
Vendor Management,,AdminGridColumnSetting,CreatedBy,nvarchar
Vendor Management,,AdminGridColumnSetting,ModifiedOn,datetimeoffset
Vendor Management,,AdminGridColumnSetting,ModifiedBy,nvarchar
Vendor Management,,AdminGridColumnSetting,IsDeleted,bit
Vendor Management,,AdminGridColumnSetting,Version,timestamp
Vendor Management,,AllColumnsforColumnSettins,Id,uniqueidentifier
Vendor Management,,AllColumnsforColumnSettins,MenuId,int
Vendor Management,,AllColumnsforColumnSettins,Columns,varchar
Vendor Management,,AllColumnsforColumnSettins,IsActive,bit
Vendor Management,,AllColumnsforColumnSettins,CreatedOn,datetime
Vendor Management,,AllColumnsforColumnSettins,CreatedBy,varchar
Vendor Management,,AllColumnsforColumnSettins,ModifiedOn,datetime
Vendor Management,,AllColumnsforColumnSettins,ModifiedBy,varchar
Vendor Management,,AllColumnsforColumnSettins,IsDeleted,bit
Vendor Management,,AllColumnsforColumnSettins,Version,timestamp
Vendor Management,,AOP,Id,uniqueidentifier
Vendor Management,,AOP,AOPPlanningCode,nvarchar
Vendor Management,,AOP,CFCycleId,uniqueidentifier
Vendor Management,,AOP,CompanyId,uniqueidentifier
Vendor Management,,AOP,ValueIn,nvarchar
Vendor Management,,AOP,CurrencyId,uniqueidentifier
Vendor Management,,AOP,POPlanningLevel,nvarchar
Vendor Management,,AOP,ExchangeRate,decimal
Vendor Management,,AOP,TotalEquivalentCapacity,decimal
Vendor Management,,AOP,TotalProjectedPO,decimal
Vendor Management,,AOP,TotalProjectedRevenue,decimal
Vendor Management,,AOP,Status,nvarchar
Vendor Management,,AOP,CfCycleName,nvarchar
Vendor Management,,AOP,PlanningYearId,nvarchar
Vendor Management,,AOP,CfCyclePlanningMonth,nvarchar
Vendor Management,,AOP,CfCycleYear,int
Vendor Management,,AOP,CfCyclePlanningStartDate,datetime
