Domain Name,Sub Domain Name,Table/View Name,Column Name,Data Type
Vendor Management,Financial Operations,SOWJD_SRN_Resource,Id,uniqueidentifier
Vendor Management,Financial Operations,SOWJD_SRN_Resource,SrnId,uniqueidentifier
Vendor Management,Financial Operations,SOWJD_SRN_Resource,SkillsetId,uniqueidentifier
Vendor Management,Financial Operations,SOWJD_SRN_Resource,GradeId,uniqueidentifier
Vendor Management,Financial Operations,SOWJD_SRN_Resource,PoLineItemId,uniqueidentifier
Vendor Management,Financial Operations,SOWJD_SRN_Resource,EmployeeNumber,nvarchar
Vendor Management,Financial Operations,SOWJD_SRN_Resource,AbsentDays,decimal
Vendor Management,Financial Operations,SOWJD_SRN_Resource,WorkingDays,decimal
Vendor Management,Financial Operations,SOWJD_SRN_Resource,EffortPMO,decimal
Vendor Management,Financial Operations,SOWJD_SRN_Resource,CreatedOn,datetimeoffset
Vendor Management,Financial Operations,SOWJD_SRN_Resource,CreatedBy,nvarchar
Vendor Management,Financial Operations,SOWJD_SRN_Resource,ModifiedOn,datetimeoffset
Vendor Management,Financial Operations,SOWJD_SRN_Resource,ModifiedBy,nvarchar
Vendor Management,Financial Operations,SOWJD_SRN_Resource,IsDeleted,bit
Vendor Management,Financial Operations,SOWJD_SRN_Resource,Version,timestamp
Vendor Management,Financial Operations,SOWJD_SRN_Resource,OverTime,decimal
Vendor Management,Financial Operations,SOWJD_SRN_Resource,WorkingHours,decimal
Vendor Management,Financial Operations,SOWJD_SRN_Resource,Cost,decimal
Vendor Management,Financial Operations,SOWJD_SRN_Resource,Price,decimal
Vendor Management,Financial Operations,SOWJD_SRN_Resource,StandardDays,decimal
Vendor Management,Financial Operations,SOWJD_SRN_Resource,StandardHours,decimal
Vendor Management,Financial Operations,SOWJD_SRN_Resource,OTRatio,decimal
Vendor Management,Financial Operations,SOWJD_SRN_Resource,ConversionHour,decimal
Vendor Management,Financial Operations,SOWJD_SRN_Resource,StandardWorkingDays,decimal
Vendor Management,Financial Operations,SOWJD_SRN_Resource,DateOfJoining,datetime
Vendor Management,Financial Operations,SOWJD_SRN_Resource,ContractEndDate,datetime
Vendor Management,Financial Operations,SOWJD_SRN_Resource,SkillSetName,varchar
Vendor Management,Financial Operations,SOWJD_SRN_Resource,GradeName,varchar
