Domain Name,Sub Domain Name,Table/View Name,Column Name,Data Type
Vendor Management,Master Tables,vw_MasterBoschRateCardPivot,skillsetId,uniqueidentifier
Vendor Management,Master Tables,vw_MasterBoschRateCardPivot,GradeId,uniqueidentifier
Vendor Management,Master Tables,vw_MasterBoschRateCardPivot,GradePrice,decimal
Vendor Management,Master Tables,vw_MasterBoschRateCardPivot,GradeType,nvarchar
Vendor Management,Master Tables,vw_MasterBoschRateCardPivot,SkillType,varchar
Vendor Management,Master Tables,vw_MasterSkillset,SkillsetCode,bigint
Vendor Management,Master Tables,vw_MasterSkillset,SkillsetName,nvarchar
Vendor Management,Master Tables,vw_MasterSkillset,ClassificationName,nvarchar
Vendor Management,Master Tables,vw_MasterSkillset,ClusterCode,nvarchar
Vendor Management,Master Tables,vw_MasterSkillset,ClusterName,nvarchar
Vendor Management,Master Tables,vw_MasterSkillset,ActiveStatus,varchar
Vendor Management,Master Tables,vw_MasterSkillset,CreatedOn,datetimeoffset
Vendor Management,Master Tables,vw_MasterSkillset,CreatedBy,nvarchar
Vendor Management,Master Tables,vw_MasterSkillset,ModifiedOn,datetimeoffset
Vendor Management,Master Tables,vw_MasterSkillset,ModifiedBy,nvarchar
Vendor Management,Master Tables,vw_MasterSkillset,EnricoCode,nvarchar
Vendor Management,Master Tables,vw_MasterSkillset,Imported,varchar
Vendor Management,Master Tables,vw_MasterSkillset,Id,uniqueidentifier
Vendor Management,Master Tables,vw_MasterSkillset,ClusterId,uniqueidentifier
Vendor Management,Master Tables,vw_MasterSkillset,ClassificationId,uniqueidentifier
Vendor Management,Master Tables,vw_MasterSkillset,IsActive,bit
Vendor Management,Master Tables,vw_MasterVendor,CompanyCode,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,VendorSAPID,int
Vendor Management,Master Tables,vw_MasterVendor,VendorName,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,AddressStreet,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,City,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,BusinessSupport,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,SubcontractAllowed,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,DomainID,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,Classification,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,VendorType,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,ParentVendor,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,ParentVendorSAPId,int
Vendor Management,Master Tables,vw_MasterVendor,ParentVendorId,uniqueidentifier
Vendor Management,Master Tables,vw_MasterVendor,Currency,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,Region,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,Country,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,ActiveStatus,varchar
Vendor Management,Master Tables,vw_MasterVendor,IsActive,bit
Vendor Management,Master Tables,vw_MasterVendor,CreatedBy,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,CreatedOn,datetimeoffset
Vendor Management,Master Tables,vw_MasterVendor,ModifiedBy,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,ModifiedOn,datetimeoffset
Vendor Management,Master Tables,vw_MasterVendor,StatusID,uniqueidentifier
Vendor Management,Master Tables,vw_MasterVendor,CompanyId,uniqueidentifier
Vendor Management,Master Tables,vw_MasterVendor,Id,uniqueidentifier
Vendor Management,Master Tables,vw_MasterVendor,VendorCurrencyId,uniqueidentifier
Vendor Management,Master Tables,vw_MasterVendor,VendorTypeID,uniqueidentifier
Vendor Management,Master Tables,vw_MasterVendor,BusinessSupportID,uniqueidentifier
Vendor Management,Master Tables,vw_MasterVendor,ClassificationID,uniqueidentifier
Vendor Management,Master Tables,vw_MasterVendor,PrimaryContactName,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,PrimaryCountryCode,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,PrimaryContactMobile,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,PrimaryContactEmail,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,PrimaryNote,nvarchar
Vendor Management,Master Tables,vw_MasterVendor,PrimaryDesignation,nvarchar
Vendor Management,Master Tables,vw_MasterVendorRateCardPivot,skillsetId,uniqueidentifier
Vendor Management,Master Tables,vw_MasterVendorRateCardPivot,VendorId,uniqueidentifier
Vendor Management,Master Tables,vw_MasterVendorRateCardPivot,VendorSAPID,int
Vendor Management,Master Tables,vw_MasterVendorRateCardPivot,LocationModeId,varchar
Vendor Management,Master Tables,vw_MasterVendorRateCardPivot,LocationMode,nvarchar
Vendor Management,Master Tables,vw_MasterVendorRateCardPivot,GradeId,uniqueidentifier
Vendor Management,Master Tables,vw_MasterVendorRateCardPivot,GradePrice,decimal
Vendor Management,Master Tables,vw_MasterVendorRateCardPivot,GradeType,nvarchar
Vendor Management,Master Tables,vw_MasterVendorRateCardPivot,SkillType,varchar
Vendor Management,Master Tables,vw_MasterVendorRateCardPivot,CompanyCode,nvarchar
Vendor Management,Master Tables,vw_MasterVendorRateCardPivot,CompanyId,uniqueidentifier
