Domain Name,Sub Domain Name,Table/View Name,Column Name,Data Type,,Domain Name,Sub Domain Name,Table/View Name,Column Name,Data Type
Vendor Management,Resource Management,OrgData,Id,uniqueidentifier,,Vendor Management,Resource Management,OrgData,Id,uniqueidentifier
Vendor Management,Resource Management,OrgData,BuName,nvarchar,,Vendor Management,Resource Management,OrgData,BuName,nvarchar
Vendor Management,Resource Management,OrgData,BuId,int,,Vendor Management,Resource Management,OrgData,BuId,int
Vendor Management,Resource Management,OrgData,BuHeadEno,int,,Vendor Management,Resource Management,OrgData,BuHeadEno,int
Vendor Management,Resource Management,OrgData,BuHeadName,nvarchar,,Vendor Management,Resource Management,OrgData,BuHeadName,nvarchar
Vendor Management,Resource Management,OrgData,BuHeadEmail,nvarchar,,Vendor Management,Resource Management,OrgData,BuHeadEmail,nvarchar
Vendor Management,Resource Management,OrgData,SectionName,nvarchar,,Vendor Management,Resource Management,OrgData,SectionName,nvarchar
Vendor Management,Resource Management,OrgData,SectionId,int,,Vendor Management,Resource Management,OrgData,SectionId,int
Vendor Management,Resource Management,OrgData,SectionHeadEno,int,,Vendor Management,Resource Management,OrgData,SectionHeadEno,int
Vendor Management,Resource Management,OrgData,SectionHeadName,nvarchar,,Vendor Management,Resource Management,OrgData,SectionHeadName,nvarchar
Vendor Management,Resource Management,OrgData,SectionHeadEmail,nvarchar,,Vendor Management,Resource Management,OrgData,SectionHeadEmail,nvarchar
Vendor Management,Resource Management,OrgData,DepartmentName,nvarchar,,Vendor Management,Resource Management,OrgData,DepartmentName,nvarchar
Vendor Management,Resource Management,OrgData,DepartmentId,bigint,,Vendor Management,Resource Management,OrgData,DepartmentId,bigint
Vendor Management,Resource Management,OrgData,DepartmentHeadEno,int,,Vendor Management,Resource Management,OrgData,DepartmentHeadEno,int
Vendor Management,Resource Management,OrgData,DepartmentHeadName,nvarchar,,Vendor Management,Resource Management,OrgData,DepartmentHeadName,nvarchar
Vendor Management,Resource Management,OrgData,DepartmentHeadEmail,nvarchar,,Vendor Management,Resource Management,OrgData,DepartmentHeadEmail,nvarchar
Vendor Management,Resource Management,OrgData,GroupName,nvarchar,,Vendor Management,Resource Management,OrgData,GroupName,nvarchar
Vendor Management,Resource Management,OrgData,GroupId,int,,Vendor Management,Resource Management,OrgData,GroupId,int
Vendor Management,Resource Management,OrgData,GroupMgrEno,int,,Vendor Management,Resource Management,OrgData,GroupMgrEno,int
Vendor Management,Resource Management,OrgData,GroupMgrName,nvarchar,,Vendor Management,Resource Management,OrgData,GroupMgrName,nvarchar
Vendor Management,Resource Management,OrgData,GroupMgrEmail,nvarchar,,Vendor Management,Resource Management,OrgData,GroupMgrEmail,nvarchar
Vendor Management,Resource Management,OrgData,IsActive,bit,,Vendor Management,Resource Management,OrgData,IsActive,bit
Vendor Management,Resource Management,OrgData,IsDeleted,bit,,Vendor Management,Resource Management,OrgData,IsDeleted,bit
Vendor Management,Resource Management,OrgData,CreatedOn,datetimeoffset,,Vendor Management,Resource Management,OrgData,CreatedOn,datetimeoffset
Vendor Management,Resource Management,OrgData,CreatedBy,nvarchar,,Vendor Management,Resource Management,OrgData,CreatedBy,nvarchar
Vendor Management,Resource Management,OrgData,ModifiedOn,datetimeoffset,,Vendor Management,Resource Management,OrgData,ModifiedOn,datetimeoffset
Vendor Management,Resource Management,OrgData,ModifiedBy,nvarchar,,Vendor Management,Resource Management,OrgData,ModifiedBy,nvarchar
Vendor Management,Resource Management,OrgData,CompanyId,uniqueidentifier,,Vendor Management,Resource Management,OrgData,CompanyId,uniqueidentifier
Vendor Management,Resource Management,OrgData,CompanyCode,nvarchar,,Vendor Management,Resource Management,OrgData,CompanyCode,nvarchar
Vendor Management,Resource Management,OrgData,Imported,bit,,Vendor Management,Resource Management,OrgData,Imported,bit
